Time,Engine speed,Engine load,Mass air flow (MAF),Ignition angle,Retardation cylinder 1,Actual throttle plate angle,Intake air temperature (sensor),Actual lambda value bank 1,Actual lambda value bank 2,Engine load (SAEJ 1979),Pressure ah. of thr. plate fr. press. sensor
20:31:29.0473530,743.25,27,23.8,-2.25,0,2.08,3,1.00537,0.99756,14.84,990
20:31:29.2073621,735.5,26.95,23.7,-2.25,0,2.08,3,1.00171,1.00073,14.84,990
20:31:29.3573707,744.25,26.95,23.8,-3,0,2.08,3,0.99658,1.00464,14.84,990
20:31:29.5163798,748.75,26.91,23.7,-3.75,0,2.08,3,0.99829,0.99829,14.84,990
20:31:29.6663884,738.25,26.91,23.8,-3,0,2.08,3,1.00537,0.99634,14.84,990
20:31:29.8163970,737.25,27.05,23.8,-2.25,0,2.08,3,1.00317,0.99585,14.84,990
20:31:29.9684057,739.5,27.05,23.8,-2.25,0,2.05,3,0.99927,0.99756,14.84,990
20:31:30.1174142,743.5,26.93,23.2,-3,0,2,3,0.99854,1.00684,14.84,990
20:31:30.2674228,738,26.79,23.2,-2.25,0,1.98,3,0.99829,1.00366,14.84,990
20:31:30.4174313,734,26.74,23.3,-0.75,0,2,3,0.99927,0.98877,14.84,990
20:31:30.5674399,748.25,26.67,23.4,-2.25,0,2,3,1.00562,0.99463,14.84,990
20:31:30.7174485,744.25,26.65,23.4,-1.5,0,2.05,3,1.00415,0.99316,14.84,990
20:31:30.8664570,739.5,26.65,23.3,-1.5,0,2.05,3,0.99878,0.99707,14.84,990
20:31:31.0164656,743,26.6,23.4,-2.25,0,2.05,3,0.99707,1.00708,14.84,990
20:31:31.1664742,731.75,26.7,23.8,-0.75,0,2.15,3,1,1.00195,14.84,990
20:31:31.3154827,738.5,26.84,23.8,-2.25,0,2.15,3,1.00586,0.99707,14.84,990
20:31:31.4674914,741.5,26.93,23.7,-2.25,0,2.1,3,1.00098,1.00757,14.84,990
20:31:31.6164999,744,27,24.5,-2.25,0,2.08,3,0.99585,1.00537,14.84,990
20:31:31.7665085,737,27.19,24.1,-1.5,0,2.1,3,0.99902,1.00854,14.84,1000
20:31:31.9175171,743.5,27.16,24,-3,0,2.08,3,1.00098,1.00854,14.84,990
20:31:32.0665257,742,27.16,23.9,-3,0,2.05,3,1.00317,1.00317,14.84,990
20:31:32.2165342,735,27.16,23.7,-1.5,0,2.08,3,1.00415,0.99609,14.84,990
20:31:32.3665428,733,27.14,23.7,-1.5,0,2.08,3,1.00195,0.99438,14.84,990
20:31:32.5165514,742.75,27.12,23.6,-2.25,0,2.05,3,0.9939,0.99756,14.84,990
20:31:32.6645599,750.25,27,23.6,-3,0,2.05,3,0.99121,0.99902,14.84,990
20:31:32.8145684,742.5,26.93,23.7,-2.25,0,2.05,3,0.99414,0.9917,14.84,990
20:31:32.9675772,740,26.84,23.6,-2.25,0,2.05,3,0.99487,0.98584,14.84,990
20:31:33.1175858,739.5,26.86,23.6,-2.25,0,2.05,3,0.99316,0.98755,14.84,990
20:31:33.2665943,733.5,26.88,23.6,-1.5,0,2.05,3,0.98877,0.99316,14.84,1000
20:31:33.4166029,730.75,27.16,23.9,-0.75,0,2.05,3,0.9856,0.99634,15.23,990
20:31:33.5666115,733,27.19,23.7,-2.25,0,2.05,3,0.98804,0.99487,14.84,1000
20:31:33.7176201,739.5,27.12,23.6,-1.5,0,2,3,0.99561,0.9917,14.84,990
20:31:33.8656286,736,26.95,23.1,-2.25,0,1.98,3,0.99854,0.99146,14.84,990
20:31:34.0156371,743.25,26.72,23.1,-3,0,2,3,0.99561,0.9939,14.84,990
20:31:34.1656457,734,26.58,23,-1.5,0,2,3,0.99268,0.99878,14.84,990
20:31:34.3146542,729.25,26.6,23.1,-0.75,0,2.05,3,0.99292,0.99927,14.84,990
20:31:34.4656629,741.25,26.63,23,-1.5,0,2.05,3,0.99658,0.99731,14.84,990
