Time,Engine speed,Engine load,Mass air flow (MAF),Ignition angle,Retardation cylinder 1,Actual throttle plate angle,Intake air temperature (sensor),Actual lambda value bank 1,Actual lambda value bank 2,Engine load (SAEJ 1979),Pressure ah. of thr. plate fr. press. sensor
20:09:42.6056288,736.25,23.32,22.8,7.5,0,1.9,3,1.00586,0.99902,12.89,990
20:09:42.7656379,742,23.37,23.8,6.75,0,1.95,3,1.00195,1.00098,12.89,990
20:09:42.9146465,727.5,23.37,22.7,9,0,1.95,3,0.99487,1.00488,12.89,990
20:09:43.0766557,733.5,23.41,23.8,7.5,0,1.95,3,0.99756,1.00073,12.89,990
20:09:43.2366649,744.25,23.39,22.7,5.25,0,1.9,3,0.99854,0.99683,12.89,990
20:09:43.3966740,744,23.37,22.7,5.25,0,1.95,3,1.00098,0.9978,12.89,990
20:09:43.5466826,741.5,23.3,22.7,6,0,1.9,3,1.00024,1.00171,12.89,990
20:09:43.6956911,746.25,23.34,22.7,4.5,0,1.95,3,0.99683,1.00366,12.89,990
20:09:43.8456997,745.5,23.34,22.7,5.25,0,1.95,3,0.99463,1.00342,12.89,990
20:09:43.9957083,741.75,23.48,23.1,5.25,0,1.95,3,0.99634,1.00464,12.89,990
20:09:44.1457169,739.75,23.72,23.4,6,0,1.95,3,0.9978,0.99683,12.89,990
20:09:44.2947254,746.75,23.44,22.6,5.25,0,1.95,3,0.99927,0.99976,12.89,990
20:09:44.4447340,737.5,23.44,22.6,7.5,0,1.95,3,0.99805,1.00903,12.89,990
20:09:44.5967427,746,23.46,22.8,6,0,1.9,3,0.99585,1.00342,12.89,990
20:09:44.7557518,740.75,23.6,23.3,6.75,0,1.95,3,0.99536,0.99854,12.89,990
20:09:44.9147609,738.5,23.7,23.1,7.5,0,1.9,3,0.99927,0.99487,12.89,990
20:09:45.0667695,738,23.77,23.5,6.75,0,1.95,3,1.00195,0.99683,12.89,990
20:09:45.2257786,748,23.81,22.7,4.5,0,1.95,3,1.00049,1.00073,12.89,990
20:09:45.3737871,747.75,23.7,23.4,4.5,0,1.95,3,0.99976,1.00366,12.89,990
20:09:45.5237957,739.25,23.77,23.6,6,0,1.9,3,1.00073,0.99976,12.89,990
20:09:45.6748043,738.25,23.88,23.1,5.25,0,1.9,3,1.00146,0.99609,12.89,990
20:09:45.8248129,740.75,23.93,23.1,5.25,0,1.9,3,1.00317,0.99219,13.28,990
20:09:45.9758215,733.75,23.95,23,5.25,0,1.88,3,1,0.99561,13.28,990
20:09:46.1258301,744,23.93,22.8,5.25,0,1.88,3,0.99805,0.99854,13.28,990
20:09:46.2758387,739.75,23.93,22.7,6,0,1.88,3,0.99487,0.9978,13.28,990
20:09:46.4258473,745.25,23.91,22.8,5.25,0,1.88,3,0.99316,0.99219,13.28,990
20:09:46.5758559,734.75,23.95,22.8,7.5,0,1.88,3,0.9939,0.98901,13.28,990
20:09:46.7238643,740.5,23.91,22.8,6,0,1.86,3,0.99341,0.98853,13.28,990
20:09:46.8748730,744.75,23.72,22.1,4.5,0,1.86,3,0.99316,0.99463,12.89,990
20:09:47.0338821,739,23.77,22.5,6.75,0,1.86,3,0.99341,0.9978,12.89,1000
20:09:47.1938912,739.5,23.74,21.9,6.75,0,1.86,3,0.9939,0.99561,12.89,990
20:09:47.3539004,739.25,23.74,21.9,6,0,1.81,3,0.99634,0.99414,13.28,990
20:09:47.5129095,737.75,23.72,22.3,6.75,0,1.86,3,0.99805,0.99487,12.89,990
20:09:47.6659182,739,23.79,22.1,6.75,0,1.86,3,0.99536,0.99756,12.89,990
20:09:47.8249273,738.25,23.65,21.9,6,0,1.81,3,0.99292,0.99927,12.89,990
20:09:47.9839364,726.75,23.55,21.8,8.25,0,1.81,3,0.99707,1.00024,12.89,990
20:09:48.1539461,729.75,23.53,22,9,0,1.81,3,1.00049,0.99731,12.89,990
20:09:48.3139553,739,23.46,22,6.75,0,1.81,3,1.00439,0.99878,12.89,990
20:09:48.4739644,737,23.44,22.1,7.5,0,1.86,3,1.00244,1.00781,12.89,990
20:09:48.6239730,732,23.48,22.2,9,0,1.81,3,1.00439,1.01196,12.89,990
20:09:48.7739816,732.75,23.51,22.2,8.25,0,1.81,3,1.00635,1.01025,12.89,990
20:09:48.9329907,734.75,23.55,22.3,8.25,0,1.81,3,1.01318,1.01001,12.89,990
20:09:49.0829993,739.75,23.55,22.3,7.5,0,1.81,3,1.01782,1.01367,12.89,990
20:09:49.2340079,739.75,23.53,22.2,6,0,1.86,3,1.01538,1.01514,12.89,990
20:09:49.3840165,744.75,23.51,22.2,5.25,0,1.78,3,1.01196,1.01416,12.89,990
20:09:49.5340251,736.25,23.55,22.5,6.75,0,1.78,3,1.01099,1.01367,12.89,990
20:09:49.6840336,746.5,23.63,22.3,5.25,0,1.81,3,1.00952,1.00928,12.89,990
20:09:49.8330422,747.75,23.58,22,5.25,0,1.81,3,1.00854,1.00391,12.89,990
20:09:49.9930513,747.25,23.53,22,5.25,0,1.81,3,1.00586,1.00464,12.89,990
20:09:50.1530605,742.5,23.53,21.9,6,0,1.81,3,1.00317,1.00806,12.89,990
20:09:50.3030690,739.5,23.74,22.7,6.75,0,1.81,3,1.00098,1.00488,12.89,990
20:09:50.4620781,744.25,23.77,23,5.25,0,1.81,3,1.00317,1.00171,12.89,990
20:09:50.6220873,741.75,23.67,21.8,6,0,1.78,3,1.00513,1.00732,12.89,990
20:09:50.7750960,742.25,23.65,22.1,6,0,1.78,3,1.00488,1.0061,12.89,990
20:09:50.9341051,743,23.55,21.9,6,0,1.76,3,1.00342,1.00635,12.89,1000
20:09:51.0831137,745,23.55,21.8,5.25,0,1.76,3,1.00317,1.00635,12.89,990
20:09:51.2341223,741.75,23.53,21.7,6,0,1.76,3,1.00244,1.00366,12.89,990
20:09:51.3831308,744.5,23.53,22.2,4.5,0,1.76,3,1.00366,0.99902,12.89,990
