Open,Lunch,Close,yclose,closetoopen,opentolunch,lunchtoclose,rek
1040.75,1059.75,1080.5,1044.0,-3.25,19.0,20.75,BUY
1076.0,1073.5,1078.25,1080.5,-4.5,-2.5,4.75,BUY
1077.25,1088.75,1108.25,1078.25,-1.0,11.5,19.5,BUY
1114.0,1110.0,1115.5,1108.25,5.75,-4.0,5.5,BUY
1112.75,1124.0,1131.0,1115.5,-2.75,11.25,7.0,BUY
1135.75,1132.75,1130.25,1131.0,4.75,-3.0,-2.5,SELL
1144.0,1130.0,1132.0,1130.25,13.75,-14.0,2.0,BUY
1140.5,1146.25,1150.5,1132.0,8.5,5.75,4.25,BUY
1157.75,1158.25,1163.0,1150.5,7.25,0.5,4.75,BUY
1167.0,1154.0,1167.5,1163.0,4.0,-13.0,13.5,BUY
1185.75,1177.5,1169.25,1167.5,18.25,-8.25,-8.25,SELL
1170.75,1174.0,1170.25,1169.25,1.5,3.25,-3.75,SELL
1180.5,1180.25,1183.0,1170.25,10.25,-0.25,2.75,BUY
1180.25,1181.0,1185.0,1183.0,-2.75,0.75,4.0,BUY
1190.75,1187.75,1181.25,1185.0,5.75,-3.0,-6.5,SELL
1180.5,1186.5,1186.75,1181.25,-0.75,6.0,0.25,BUY
1191.75,1193.75,1195.5,1186.75,5.0,2.0,1.75,BUY
1196.5,1188.75,1180.75,1195.5,1.0,-7.75,-8.0,SELL
1189.0,1193.5,1192.25,1180.75,8.25,4.5,-1.25,SELL
1194.25,1185.75,1188.75,1192.25,2.0,-8.5,3.0,BUY
1181.25,1183.25,1191.5,1188.75,-7.5,2.0,8.25,BUY
1191.75,1196.75,1203.0,1191.5,0.25,5.0,6.25,BUY
1200.25,1201.25,1198.0,1203.0,-2.75,1.0,-3.25,SELL
1201.0,1194.75,1195.0,1198.0,3.0,-6.25,0.25,BUY
1196.75,1209.0,1217.0,1195.0,1.75,12.25,8.0,BUY
1217.25,1222.5,1227.0,1217.0,0.25,5.25,4.5,BUY
1226.75,1236.25,1238.5,1227.0,-0.25,9.5,2.25,BUY
1239.0,1233.75,1228.75,1238.5,0.5,-5.25,-5.0,SELL
