Device Time, Air Fuel Ratio(Measured)(:1),Engine RPM(rpm),Mass Air Flow Rate(g/s),Throttle Position(Manifold)(%),Timing Advance(°)
31-maj-2017 08:18:36.003,13.14960861,843.25,4.5,2.74509811,3.5
31-maj-2017 08:18:36.100,13.14960861,843.25,4.5,2.74509811,3.5
31-maj-2017 08:18:36.200,13.14960861,843.25,4.5,2.74509811,5
31-maj-2017 08:18:36.295,13.14960861,843.25,4.5,2.74509811,5
31-maj-2017 08:18:36.395,13.14960861,843.25,4.5,2.74509811,5
31-maj-2017 08:18:36.496,13.14960861,843.25,4.5,2.74509811,5
31-maj-2017 08:18:36.596,14.57079983,843.25,4.5,2.74509811,5
31-maj-2017 08:18:36.696,14.57079983,843.25,4.5,2.74509811,5
31-maj-2017 08:18:36.797,14.57079983,843.25,4.5,2.74509811,5
31-maj-2017 08:18:36.897,14.57079983,843.25,4.5,2.74509811,5
31-maj-2017 08:18:36.996,14.57079983,843.25,4.5,2.74509811,5
31-maj-2017 08:18:37.097,14.57079983,843.25,4.5,2.74509811,5
31-maj-2017 08:18:37.196,14.57079983,843.25,4.5,2.74509811,5
31-maj-2017 08:18:37.297,14.36623478,843.25,4.5,2.74509811,5
31-maj-2017 08:18:37.397,14.36623478,843.25,4.25,2.74509811,5
31-maj-2017 08:18:37.496,14.36623478,843.25,4.25,2.74509811,5
31-maj-2017 08:18:37.597,14.36623478,834.75,4.25,2.74509811,5
31-maj-2017 08:18:37.697,14.36623478,834.75,4.25,2.74509811,6
31-maj-2017 08:18:37.797,14.36623478,834.75,4.25,2.74509811,6
31-maj-2017 08:18:37.896,14.36623478,834.75,4.25,2.74509811,6
31-maj-2017 08:18:37.997,14.36623478,834.75,4.25,2.74509811,6
31-maj-2017 08:18:38.097,14.36623478,834.75,4.25,2.74509811,6
31-maj-2017 08:18:38.197,14.64257717,834.75,4.25,2.74509811,6
31-maj-2017 08:18:38.297,14.64257717,834.75,4.25,2.74509811,6
31-maj-2017 08:18:38.396,14.64257717,834.75,4.5,2.74509811,6
31-maj-2017 08:18:38.496,14.64257717,830.5,4.5,2.74509811,6
31-maj-2017 08:18:38.597,14.64257717,830.5,4.5,2.74509811,6
31-maj-2017 08:18:38.698,14.64257717,830.5,4.5,2.74509811,4.5
31-maj-2017 08:18:38.797,14.64257717,830.5,4.5,2.74509811,4.5
31-maj-2017 08:18:38.896,14.64257717,830.5,4.5,2.74509811,4.5
31-maj-2017 08:18:38.995,14.64257717,830.5,4.5,2.74509811,4.5
31-maj-2017 08:18:39.096,14.7968998,830.5,4.5,2.74509811,4.5
31-maj-2017 08:18:39.197,14.7968998,830.5,4.5,2.74509811,4.5
31-maj-2017 08:18:39.297,14.7968998,830.5,4.25,2.74509811,4.5
