Time,Engine speed,Engine load,Mass air flow (MAF),Ignition angle,Retardation cylinder 1,Actual throttle plate angle,Intake air temperature (sensor),Actual lambda value bank 1,Actual lambda value bank 2,Engine load (SAEJ 1979),Pressure ah. of thr. plate fr. press. sensor
20:56:20.3616761,741.25,23.04,24,5.25,0,2.37,3,0.99268,0.99268,12.5,990
20:56:20.5116846,742.5,23.09,24,5.25,0,2.37,3,0.9939,0.9873,12.5,990
20:56:20.6616932,744,23.04,23.9,6,0,2.37,3,0.99316,0.9856,12.5,990
20:56:20.8207023,737,23.02,23.9,6.75,0,2.37,3,0.9917,0.9895,12.5,990
20:56:20.9717110,739.5,23.09,23.9,6.75,0,2.34,3,0.98853,0.98853,12.5,990
20:56:21.1217195,738.75,23.06,23.8,6.75,0,2.34,3,0.98633,0.98438,12.5,990
20:56:21.2707281,745.5,22.99,23.9,5.25,0,2.34,3,0.98901,0.98267,12.5,990
20:56:21.4107361,733.5,22.99,23.8,8.25,0,2.34,3,0.99268,0.98364,12.5,990
20:56:21.5617447,744.5,22.97,23.7,6,0,2.34,3,0.99146,0.9873,12.5,990
20:56:21.7137534,735.25,22.88,23.5,6.75,0,2.34,3,0.98828,0.99219,12.5,990
20:56:21.8737625,739.5,22.76,23.5,6,0,2.29,3,0.9873,0.99072,12.5,990
20:56:22.0337717,733.25,22.76,23.3,8.25,0,2.29,3,0.9873,0.98462,12.5,990
20:56:22.1817802,739.25,22.78,23.4,6.75,0,2.29,3,0.98901,0.98462,12.5,990
20:56:22.3327888,737.5,22.9,24.3,6.75,0,2.29,3,0.99146,0.99023,12.5,990
20:56:22.4917979,738.25,22.9,23.5,6,0,2.34,3,0.99146,0.99805,12.5,990
20:56:22.6418065,741,23.04,24.4,5.25,0,2.34,3,0.99146,0.99951,12.5,990
20:56:22.7908150,742,22.85,23.4,6.75,0,2.29,3,0.99609,0.99927,12.5,990
20:56:22.9508242,737.25,22.83,23.5,7.5,0,2.34,3,0.99976,0.99805,12.5,990
20:56:23.1128334,743.75,22.78,23.6,6,0,2.34,3,0.99756,0.99902,12.5,990
20:56:23.2628420,739.75,22.73,23.4,6,0,2.34,3,0.99536,1.00024,12.5,990
20:56:23.4128506,732.75,22.71,23.4,8.25,0,2.34,3,0.99634,1.00073,12.5,990
20:56:23.5628592,738.25,22.71,23.5,7.5,0,2.34,3,0.99805,0.99585,12.5,990
20:56:23.7218683,738.5,22.73,23.7,6.75,0,2.37,3,1.00024,0.99072,12.5,990
20:56:23.8828775,736.5,22.85,23.8,7.5,0,2.37,3,0.99902,0.99194,12.5,990
